cosine	jaccard	channels	band	theme_a	theme_b	name_a	name_b	freq_a	freq_b
1.0000	0.7500	dense+lexical	auto	divinizzazione_dell_imperatore	divinizzazione_di_adriano	Divinizzazione dell'imperatore	Divinizzazione dell'imperatore	1	1
1.0000	1.0000	dense+lexical	auto	lutto_per_antinoo	lutto_per_antinoo__theme	Il lutto	Il lutto	9	9
0.9436	0.5000	dense+lexical	auto	disciplina	ordine_nello_stato	Disciplina e ordine	Ordine e disciplina	1	1
0.9300	1.0000	dense+lexical	auto	anima_e_corpo	corpo_e_anima	Anima e corpo	Corpo e anima	1	1
0.9085	0.3333	dense+lexical	judge	anima_e_corpo	corpo_e_spirito	Anima e corpo	Corpo e spirito	1	1
0.9013	0.3333	dense+lexical	judge	diritto_e_giustizia	diritto_e_legge	Diritto e giustizia	Diritto e legge	1	1
0.8934	0.6667	dense+lexical	judge	limiti_della_scrittura	scrittura_e_limiti_del_linguaggio	Limiti della scrittura	Scrittura e limiti del linguaggio	1	1
0.8800	0.3333	dense+lexical	judge	corpo_e_anima	corpo_e_spirito	Corpo e anima	Corpo e spirito	1	1
0.8627	0.6667	dense+lexical	judge	sete_di_potere	sete_di_potere_e_gloria	Sete di potere	Sete di potere e gloria	1	1
0.8574	0.3333	dense+lexical	judge	colpa_e_intenzione	colpa_e_responsabilita	Colpa e intenzione	Colpa e responsabilità	1	1
0.8572	0.3333	dense+lexical	judge	lutto_e_dolore	memoria_e_lutto	Lutto e dolore	Memoria e lutto	1	1
0.8570	0.5000	dense+lexical	judge	memoria_e_confronto_con_i_morti	memoria_e_presenza_dei_morti	Memoria e confronto con i morti	Memoria e presenza dei morti	1	1
0.8526	0.6667	dense+lexical	judge	amore_eroico	amore_eroico_e_morte	Amore eroico	Amore eroico e morte	3	1
0.8466	0.3333	dense+lexical	judge	guerra_e_politica	guerra_e_violenza	Guerra e politica	Guerra e violenza	1	1
0.8368	0.3333	dense+lexical	judge	liberta_e_identita	memoria_e_identita	Libertà e identità	Memoria e identità	1	1
0.8343	0.3333	dense+lexical	judge	colpa_e_ingratitudine	colpa_e_responsabilita	Colpa e ingratitudine	Colpa e responsabilità	1	1
0.8275	0.3333	dense+lexical	judge	memoria_e_lutto	memoria_e_oblio	Memoria e lutto	Memoria e oblio	1	1
0.8253	0.3333	dense+lexical	judge	lutto_e_dolore	lutto_per_antinoo	Lutto e dolore	Il lutto	1	9
0.8253	0.3333	dense+lexical	judge	lutto_e_dolore	lutto_per_antinoo__theme	Lutto e dolore	Il lutto	1	9
0.8223	0.3333	dense+lexical	judge	diritto_e_legge	diritto_e_riforma	Diritto e legge	Diritto e riforma	1	1
0.8165	0.3333	dense+lexical	judge	guerra_e_violenza	pace_e_guerra	Guerra e violenza	Pace e guerra	1	1
0.8153	0.3333	dense+lexical	judge	formazione_e_identita	memoria_e_identita	Formazione e identità	Memoria e identità	1	1
0.8138	0.3333	dense+lexical	judge	limite_e_vecchiaia	tempo_e_vecchiaia	Limite e vecchiaia	Tempo e vecchiaia	1	1
0.8137	0.3333	dense+lexical	judge	bellezza_e_arte	bellezza_e_virtu	Bellezza e arte	Bellezza e virtù	1	1
0.8136	0.3333	dense+lexical	judge	guerra_e_politica	pace_e_guerra	Guerra e politica	Pace e guerra	1	1
0.8133	0.5000	dense+lexical	judge	successione	successione_imperiale	Successione	Successione imperiale	4	12
0.8113		dense	judge	insuccesso	limiti_del_potere	Insuccesso e limite del potere	Limiti del potere	1	1
0.8112	0.3333	dense+lexical	judge	formazione_e_identita	identita_e_autoconoscenza	Formazione e identità	Identità e autoconoscenza	1	1
0.8108	0.3333	dense+lexical	judge	colpa_e_ingratitudine	colpa_e_intenzione	Colpa e ingratitudine	Colpa e intenzione	1	1
0.8091	0.5000	dense+lexical	judge	autoconoscenza	identita_e_autoconoscenza	Autoconoscenza	Identità e autoconoscenza	1	1
0.8084		dense	judge	diplomazia_con_i_barbari	diplomazia_e_pace	Diplomazia e persuasione	Diplomazia e pace	1	1
0.8063	0.3333	dense+lexical	judge	formazione_e_identita	liberta_e_identita	Formazione e identità	Libertà e identità	1	1
0.8060	0.5000	dense+lexical	judge	immortalita	immortalita_e_morte	Immortalità	Immortalità e morte	3	1
0.8055	0.3333	dense+lexical	judge	identita_e_autoconoscenza	memoria_e_identita	Identità e autoconoscenza	Memoria e identità	1	1
0.8047		dense	judge	limite_del_potere_imperiale	limiti_del_potere	Limite del potere imperiale	Limiti del potere	1	1
0.8036	0.5000	dense+lexical	judge	immortalita	immortalita_di_roma	Immortalità	Immortalità di Roma	3	1
0.8014	0.3333	dense+lexical	judge	identita_e_autoconoscenza	identita_e_oblio_di_se	Identità e autoconoscenza	Identità e oblio di sé	1	1
0.7993	0.3333	dense+lexical	drop	anima_e_corpo	corpo_e_malattia	Anima e corpo	Corpo e malattia	1	2
0.7981	0.3333	dense+lexical	drop	identita_e_autoconoscenza	liberta_e_identita	Identità e autoconoscenza	Libertà e identità	1	1
0.7970	0.5000	dense+lexical	drop	anima_e_corpo	corpo	Anima e corpo	Il corpo	1	1
0.7960	0.3333	dense+lexical	drop	autoconoscenza	autoconoscenza_prima_della_morte	Autoconoscenza	Autoconoscenza e morte	1	1
0.7958	0.3333	dense+lexical	drop	architettura_e_cosmo	astronomia_e_cosmo	Architettura e cosmo	Astronomia e cosmo	1	1
0.7953	0.3333	dense+lexical	drop	continuita_della_civilta	continuita_umana	Continuità della civiltà	Continuità umana	1	1
0.7920	0.3333	dense+lexical	drop	pace_e_commercio	pace_e_guerra	Pace e commercio	Pace e guerra	1	1
0.7874		dense	drop	autoconoscenza_prima_della_morte	identita_e_autoconoscenza	Autoconoscenza e morte	Identità e autoconoscenza	1	1
0.7865	0.5000	dense+lexical	drop	morte	morte_propria	La morte	La propria morte	11	1
0.7836	0.5000	dense+lexical	drop	successione	successione_adottiva	Successione	Successione adottiva	4	1
0.7814	0.3333	dense+lexical	drop	memoria_e_immortalita	memoria_e_lutto	Memoria e immortalità	Memoria e lutto	6	1
0.7812	0.3333	dense+lexical	drop	cultura_e_memoria	memoria_e_oblio	Cultura e memoria	Memoria e oblio	1	1
0.7807	0.3333	dense+lexical	drop	diritto_e_legge	diritto_e_usanza	Diritto e legge	Diritto e usanza	1	1
