cluster_id	theme_id	name	freq	is_cap	in_refinement
0	amore_e_potere	Amore e potere	1		
0	burocrazia	Burocrazia e delega del potere	1		
0	mimesi_del_potere	Mimesi del potere	1		
0	morte_e_potere	Morte e potere	1		
0	potere	Il potere	1		
0	potere_e_macchina_militare	Potere e macchina militare	1		
0	potere_e_moderazione	Potere e moderazione	1		
0	potere_e_percezione_pubblica	Potere e percezione pubblica	1		
0	potere_e_precarietà	Potere e precarietà	1		
0	potere_e_ruolo_istituzionale	Potere e ruolo istituzionale	1		
0	potere_e_successione	Potere e successione	1		
0	potere_e_violenza_politica	Potere e violenza politica	1		
0	provvidenza_e_potere	Provvidenza e potere	1		
0	sete_di_potere	Sete di potere	1	yes	yes
0	sete_di_potere_e_gloria	Sete di potere e gloria	1		yes
0	sogno_del_filosofo_re	Il filosofo al potere	1		
1	lutto_per_antinoo	Il lutto	18		yes
1	memoria_e_immortalita	Memoria e immortalità	6		
1	cultura_e_memoria	Cultura e memoria	1		
1	lutto_anticipato	Lutto anticipato	1		
1	lutto_e_dolore	Lutto e dolore	1	yes	yes
1	lutto_per_plotina	Lutto e intimità spirituale	1		
1	memoria_autentica	Memoria autentica	1		
1	memoria_e_confronto_con_i_morti	Memoria e confronto con i morti	1		
1	memoria_e_infanzia	Memoria e infanzia	1		
1	memoria_e_lutto	Memoria e lutto	1		yes
1	memoria_e_oblio	Memoria e oblio	1		
1	memoria_e_presenza_dei_morti	Memoria e presenza dei morti	1		
1	memoria_e_somiglianza	Memoria e somiglianza	1		
1	memoria_e_tempo_soggettivo	Memoria e tempo soggettivo	1		
2	amicizia_e_fedelta	Amicizia e fedeltà	1		
2	amore_e_colpa	Amore e colpa	1		
2	amore_e_volutta	Amore e voluttà	1		
2	cecita_di_adriano_davanti_all_agonia	Cecità e menzogna	1		
2	colpa_e_ingratitudine	Colpa e ingratitudine	1		
2	colpa_e_intenzione	Colpa e intenzione	1		
2	colpa_e_responsabilita	Colpa e responsabilità	1		
2	discrezione_dell_entourage	Discrezione e fedeltà dell'entourage	1		
2	fiducia_e_rischio	Fiducia e rischio	1		
2	intesa_politica_adriano_plotina_attiano	Intesa politica e complicità	1		
2	volonta_di_potere	Volontà di potere	1		
3	amore	L'amore	3		
3	amore_eroico	Amore eroico	3	yes	yes
3	amore_come_gioco_di_ruoli	Amore come gioco di ruoli	1		
3	amore_e_dipendenza	Amore e dipendenza	1		
3	amore_e_incontro	Amore e incontro	1		
3	amore_e_luogo_natio	Amore e luogo natio	1		
3	amore_e_perdita	Amore e perdita	1		
3	amore_eroico_e_morte	Amore eroico e morte	1		yes
3	amore_erotico	Amore erotico	1		
3	amore_umano	Amore umano	1		
3	peso_dell_amore	Il peso dell'amore	1		
4	conformismo_e_identita	Conformismo e identità	1		
4	formazione_e_identita	Formazione e identità	1	yes	yes
4	identita_composita	Identità composita	1		
4	identita_con_il_nemico	Identità con il nemico	1		
4	identita_di_roma_e_dell_impero	Identità di Roma e dell'impero	1		
4	identita_e_autoconoscenza	Identità e autoconoscenza	1		yes
4	identita_e_oblio_di_se	Identità e oblio di sé	1		yes
4	identita_persistente	Identità persistente	1		
4	liberta_e_identita	Libertà e identità	1		
4	lusso_e_perdita_dell_identita	Lusso e perdita dell'identità	1		
4	memoria_e_identita	Memoria e identità	1		yes
5	morte	La morte	11		
5	morte_e_aldila	Morte e aldilà	2		
5	morte_come_devozione	Morte come devozione	1		
5	morte_e_desiderio_di_morire	La morte e il desiderio di morire	1		
